,Total_Delays,Day_of_Week,Season,Pressure,Wind_Speed,Average_Temperature,Precipitation,Is_Monday,Is_Tuesday,Is_Wednesday,Is_Thursday,Is_Friday,Is_Saturday,Is_Sunday,Is_Winter,Is_Spring,Is_Summer,Is_Autumn,S_Day_of_Week,S_Season,S_Pressure,S_Wind_Speed,S_Average_Temperature,S_Precipitation,S_Is_Monday,S_Is_Tuesday,S_Is_Wednesday,S_Is_Thursday,S_Is_Friday,S_Is_Saturday,S_Is_Sunday,S_Is_Winter,S_Is_Spring,S_Is_Summer,S_Is_Autumn
2019-02-11,156.0,0,0,1027.1,16.9,-0.1,0.0,True,False,False,False,False,False,False,True,False,False,False,-1.4998565200612606,-1.3355683087292827,1.4194924590235647,-0.09262650547608872,-1.239276280710541,-0.38289619513177386,2.4489850575521523,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-12,303.0,1,0,1027.5,22.7,-3.3,23.1,False,True,False,False,False,False,False,True,False,False,False,-0.9999337833639692,-1.3355683087292827,1.469601721425994,0.865407879624177,-1.5792414763529934,2.5270067420747546,-0.40833242200323394,2.4489850575521523,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-13,149.0,2,0,1001.9,21.6,3.3,7.1,False,False,True,False,False,False,False,True,False,False,False,-0.5000110466666778,-1.3355683087292827,-1.7373910723287542,0.6837117031396442,-0.8780632603404355,0.5114895561308387,-0.40833242200323394,-0.40833242200323394,2.450752561727087,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-14,201.0,3,0,1013.1,22.0,1.8,0.0,False,False,False,True,False,False,False,True,False,False,False,-8.830996938653731e-05,-1.3355683087292827,-0.33433172506104747,0.7497830400431106,-1.0374219457978349,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,2.450752561727087,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-15,192.0,4,0,1010.2,18.4,4.4,2.5,False,False,False,False,True,False,False,True,False,False,False,0.4998344267279048,-1.3355683087292827,-0.6976238774785744,0.155141007911911,-0.7612002243383426,-0.06797163482803703,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,2.4489850575521523,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-16,64.0,5,0,1008.4,19.4,6.2,0.0,False,False,False,False,False,True,False,True,False,False,False,0.9997571634251962,-1.3355683087292827,-0.9231155582894635,0.3203193501705775,-0.5699698017894631,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,2.4489850575521523,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-17,46.0,6,0,1018.3,15.5,-0.9,0.0,False,False,False,False,False,False,True,True,False,False,False,1.4996799001224874,-1.3355683087292827,0.3170886861703766,-0.32387618463822154,-1.324267579621154,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,2.4489850575521523,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-18,88.0,0,0,1013.8,16.6,-1.0,7.9,True,False,False,False,False,False,False,True,False,False,False,-1.4998565200612606,-1.3355683087292827,-0.24664051585682473,-0.1421800081536882,-1.3348914919849808,0.6122654154280346,2.4489850575521523,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-19,119.0,1,0,1030.4,21.6,-4.1,0.0,False,True,False,False,False,False,False,True,False,False,False,-0.9999337833639692,-1.3355683087292827,1.832893873843535,0.6837117031396442,-1.6642327752636064,-0.38289619513177386,-0.40833242200323394,2.4489850575521523,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-20,106.0,2,0,1032.9,13.0,-3.6,2.5,False,False,True,False,False,False,False,True,False,False,False,-0.5000110466666778,-1.3355683087292827,2.146076763858647,-0.7368220402848877,-1.6111132134444732,-0.06797163482803703,-0.40833242200323394,-0.40833242200323394,2.450752561727087,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-21,162.0,3,0,1013.6,16.6,1.3,10.7,False,False,False,True,False,False,False,True,False,False,False,-8.830996938653731e-05,-1.3355683087292827,-0.2716951470580251,-0.1421800081536882,-1.090541507616968,0.9649809229682197,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,2.450752561727087,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-22,142.0,4,0,1024.4,14.4,5.3,0.0,False,False,False,False,True,False,False,True,False,False,False,0.4998344267279048,-1.3355683087292827,1.0812549378072667,-0.5055723611227546,-0.6655850130639028,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,2.4489850575521523,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-23,68.0,5,0,1030.2,10.4,1.8,0.0,False,False,False,False,False,True,False,True,False,False,False,0.9997571634251962,-1.3355683087292827,1.8078392426423204,-1.1662857301574205,-1.0374219457978349,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,2.4489850575521523,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-24,38.0,6,0,1006.0,22.3,3.7,12.2,False,False,False,False,False,False,True,True,False,False,False,1.4996799001224874,-1.3355683087292827,-1.223771132703968,0.7993365427207106,-0.835567610885129,1.153935659150462,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,2.4489850575521523,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-25,159.0,0,0,999.9,37.1,4.1,0.0,True,False,False,False,False,False,False,True,False,False,False,-1.4998565200612606,-1.3355683087292827,-1.9879373843408439,3.243976008148975,-0.7930719614298225,-0.38289619513177386,2.4489850575521523,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-26,149.0,1,0,1021.5,32.4,-1.9,0.0,False,True,False,False,False,False,False,True,False,False,False,-0.9999337833639692,-1.3355683087292827,0.7179627853897255,2.4676377995332417,-1.4305067032594205,-0.38289619513177386,-0.40833242200323394,2.4489850575521523,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-27,137.0,2,0,1026.8,15.5,-6.7,1.3,False,False,True,False,False,False,False,True,False,False,False,-0.5000110466666778,-1.3355683087292827,1.381910512221757,-0.32387618463822154,-1.9404544967230988,-0.2191354237738307,-0.40833242200323394,-0.40833242200323394,2.450752561727087,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-02-28,143.0,3,0,1021.2,13.7,-4.5,3.8,False,False,False,True,False,False,False,True,False,False,False,-8.830996938653731e-05,-1.3355683087292827,0.6803808385879178,-0.6211972007038213,-1.706728424718913,0.0957891365299061,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,2.450752561727087,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,1.7338885277755294,-0.5927870736455951,-0.5761944116355172,-0.563682029310495
2019-03-01,231.0,4,1,1027.1,10.8,-1.4,0.0,False,False,False,False,True,False,False,False,True,False,False,0.4998344267279048,-0.4343104477546171,1.4194924590235647,-1.1002143932539539,-1.3773871414402874,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,2.4489850575521523,-0.40833242200323394,-0.40833242200323394,-0.576738345043979,1.6869463665091018,-0.5761944116355172,-0.563682029310495
2019-03-02,65.0,5,1,1018.1,16.2,0.6,4.6,False,False,False,False,False,True,False,False,True,False,False,0.9997571634251962,-0.4343104477546171,0.2920340549691762,-0.20825134505715515,-1.1649088941637546,0.19656499582710185,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,2.4489850575521523,-0.40833242200323394,-0.576738345043979,1.6869463665091018,-0.5761944116355172,-0.563682029310495
2019-03-03,61.0,6,1,1017.8,13.7,1.8,2.3,False,False,False,False,False,False,True,False,True,False,False,1.4996799001224874,-0.4343104477546171,0.25445210816735425,-0.6211972007038213,-1.0374219457978349,-0.09316559965233599,-0.40833242200323394,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,2.4489850575521523,-0.576738345043979,1.6869463665091018,-0.5761944116355172,-0.563682029310495
2019-03-04,191.0,0,1,1006.6,21.2,2.1,24.6,True,False,False,False,False,False,False,False,True,False,False,-1.4998565200612606,-0.4343104477546171,-1.1486072391003384,0.6176403662361772,-1.0055502087063553,2.7159614782569967,2.4489850575521523,-0.40833242200323394,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,-0.576738345043979,1.6869463665091018,-0.5761944116355172,-0.563682029310495
2019-03-05,266.0,1,1,1014.8,16.9,-3.2,0.0,False,True,False,False,False,False,False,False,True,False,False,-0.9999337833639692,-0.4343104477546171,-0.12136735985077998,-0.09262650547608872,-1.5686175639891666,-0.38289619513177386,-0.40833242200323394,2.4489850575521523,-0.40803792909035363,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,-0.576738345043979,1.6869463665091018,-0.5761944116355172,-0.563682029310495
2019-03-06,202.0,2,1,1016.3,25.9,-4.7,0.0,False,False,True,False,False,False,False,False,True,False,False,-0.5000110466666778,-0.4343104477546171,0.06654237415828713,1.3939785748519096,-1.727976249446566,-0.38289619513177386,-0.40833242200323394,-0.40833242200323394,2.450752561727087,-0.40803792909035363,-0.40833242200323394,-0.40833242200323394,-0.40833242200323394,-0.576738345043979,1.6869463665091018,-0.5761944116355172,-0.563682029310495
