task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
delay,MultilayerPerceptron,target metric + day of week OHE + season OHE,21,21.4721182283506,"{'hidden_layer_sizes': (13, 50), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.9206795604540703e-05, 'learning_rate_init': 0.007378363195997691, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1414971726,
delay,MultilayerPerceptron,target metric + scaled day of week + scaled season,28,22.10377763742281,"{'hidden_layer_sizes': (86,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.006228373763516657, 'learning_rate_init': 0.05060833164718281, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",633059758,
delay,MultilayerPerceptron,target metric + scaled day of week OHE + scaled season OHE,0,20.233839373126465,"{'hidden_layer_sizes': (33,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.003735618972812038, 'learning_rate_init': 0.07380348663857099, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1997771168,
delay,MultilayerPerceptron,target metric + day of week + weather,25,30.282117980544996,"{'hidden_layer_sizes': (35, 45), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0005164739225519148, 'learning_rate_init': 0.07192745049279223, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3065306708,
delay,MultilayerPerceptron,target metric + day of week OHE + weather,21,22.432490688730482,"{'hidden_layer_sizes': (13, 19), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0007060359839998341, 'learning_rate_init': 0.06881495392176862, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2085832577,
delay,MultilayerPerceptron,target metric + scaled day of week + scaled weather,3,23.548808607801234,"{'hidden_layer_sizes': (61,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.00014736637172804766, 'learning_rate_init': 0.05700675509785757, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",820758191,
delay,MultilayerPerceptron,target metric + scaled day of week OHE + scaled weather,12,20.806501621550485,"{'hidden_layer_sizes': (39,), 'activation': 'relu', 'solver': 'adam', 'alpha': 7.31546245909596e-06, 'learning_rate_init': 0.08454686176104435, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",35314444,
delay,MultilayerPerceptron,target metric + season + weather,12,34.768288391889456,"{'hidden_layer_sizes': (61,), 'activation': 'relu', 'solver': 'adam', 'alpha': 4.023534724559571e-05, 'learning_rate_init': 0.0021610820088745855, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2980933170,
delay,MultilayerPerceptron,target metric + season OHE + weather,23,35.52536127903971,"{'hidden_layer_sizes': (29, 27), 'activation': 'relu', 'solver': 'adam', 'alpha': 4.104738134159188e-05, 'learning_rate_init': 0.009810495276848418, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2182585208,
delay,MultilayerPerceptron,target metric + scaled season + scaled weather,1,28.351576164907627,"{'hidden_layer_sizes': (14, 12), 'activation': 'relu', 'solver': 'adam', 'alpha': 6.813346081235715e-06, 'learning_rate_init': 0.004296208135346335, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1463775174,
delay,MultilayerPerceptron,target metric + scaled season OHE + scaled weather,29,29.13824858318694,"{'hidden_layer_sizes': (31,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0012623445392638806, 'learning_rate_init': 0.009762522202010713, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3082499356,
