,Model,Data,RMSE
317,Ridge,Weather Data Improvement,-2.9118722791655642
318,Lasso,No Additional Data,48573.50251965558
319,Lasso,Best Added-Feature Set,34644.54777301711
320,Lasso,Best Added-Feature Set Improvement,28.676035336348306
321,Lasso,Day of Week Data Improvement,28.676035336348306
322,Lasso,Season Data Improvement,-0.29485019127155
323,Lasso,Weather Data Improvement,-4.633958411783283
324,GradientBoost,No Additional Data,34359.94251742866
325,GradientBoost,Best Added-Feature Set,27976.73076978159
326,GradientBoost,Best Added-Feature Set Improvement,18.57748086862854
327,GradientBoost,Day of Week Data Improvement,14.182292684421896
328,GradientBoost,Season Data Improvement,-6.243334060432801
329,GradientBoost,Weather Data Improvement,-12.43726454014346
330,SupportVector,No Additional Data,57354.4600464273
331,SupportVector,Best Added-Feature Set,56764.57262505538
332,SupportVector,Best Added-Feature Set Improvement,1.0284944203021382
333,SupportVector,Day of Week Data Improvement,0.005094884854727866
334,SupportVector,Season Data Improvement,7.545745356196676e-05
335,SupportVector,Weather Data Improvement,1.0276532483144791
336,MultilayerPerceptron,No Additional Data,37835.40865535918
337,MultilayerPerceptron,Best Added-Feature Set,34284.381760517914
338,MultilayerPerceptron,Best Added-Feature Set Improvement,9.385459338334073
339,MultilayerPerceptron,Day of Week Data Improvement,8.683117998030326
340,MultilayerPerceptron,Season Data Improvement,6.33856772707594
341,MultilayerPerceptron,Weather Data Improvement,-2.0222069291037315
342,kNearestNeighbor,No Additional Data,33938.59860320649
343,kNearestNeighbor,Best Added-Feature Set,33386.429943725845
344,kNearestNeighbor,Best Added-Feature Set Improvement,1.6269636408277535
345,kNearestNeighbor,Day of Week Data Improvement,1.375233912010657
346,kNearestNeighbor,Season Data Improvement,0.26528453236483074
347,kNearestNeighbor,Weather Data Improvement,1.6269629557052951
348,MovingAverage,No Additional Data,68396.84639272057
349,MovingAverage,Best Added-Feature Set,68396.84639272057
350,MovingAverage,Best Added-Feature Set Improvement,0.0
351,MovingAverage,Day of Week Data Improvement,0.0
352,MovingAverage,Season Data Improvement,0.0
353,MovingAverage,Weather Data Improvement,0.0
354,Poisson,No Additional Data,116935.77728960304
355,Poisson,Best Added-Feature Set,116935.77728960304
356,Poisson,Best Added-Feature Set Improvement,0.0
357,Poisson,Day of Week Data Improvement,0.0
358,Poisson,Season Data Improvement,0.0
359,Poisson,Weather Data Improvement,0.0
360,RandomForest,No Additional Data,38463.77861972243
361,RandomForest,Best Added-Feature Set,30808.59703165154
362,RandomForest,Best Added-Feature Set Improvement,19.90231293642499
363,RandomForest,Day of Week Data Improvement,19.90231293642499
364,RandomForest,Season Data Improvement,-1.2081025811706638
365,RandomForest,Weather Data Improvement,-7.658167751181736
366,Linear,No Additional Data,54900.91072974088
367,Linear,Best Added-Feature Set,53503.0995106098
368,Linear,Best Added-Feature Set Improvement,2.5460619879550705
369,Linear,Day of Week Data Improvement,2.5460619879550705
370,Linear,Season Data Improvement,0.253799975525169
371,Linear,Weather Data Improvement,-5.808415062150075
372,Ridge,No Additional Data,54900.910729740885
373,Ridge,Best Added-Feature Set,36760.971487457165
374,Ridge,Best Added-Feature Set Improvement,33.04123556634728
375,Ridge,Day of Week Data Improvement,32.921739488133696
376,Ridge,Season Data Improvement,0.19109900516370715
377,Ridge,Weather Data Improvement,-1.9808265752610055
378,Lasso,No Additional Data,54900.9107297408
379,Lasso,Best Added-Feature Set,40113.03772125737
380,Lasso,Best Added-Feature Set Improvement,26.93556957785141
381,Lasso,Day of Week Data Improvement,26.93556957785141
382,Lasso,Season Data Improvement,0.219940205903697
383,Lasso,Weather Data Improvement,-3.7200005984081486
384,GradientBoost,No Additional Data,41539.725306872446
385,GradientBoost,Best Added-Feature Set,33145.26252416812
386,GradientBoost,Best Added-Feature Set Improvement,20.208277066568655
387,GradientBoost,Day of Week Data Improvement,12.120838023564843
388,GradientBoost,Season Data Improvement,-2.930595949039244
389,GradientBoost,Weather Data Improvement,-8.154474211510646
390,SupportVector,No Additional Data,96828.77394016563
391,SupportVector,Best Added-Feature Set,94793.1260532736
392,SupportVector,Best Added-Feature Set Improvement,2.1023171151066435
393,SupportVector,Day of Week Data Improvement,0.005724359261861878
394,SupportVector,Season Data Improvement,0.00032607410160778727
395,SupportVector,Weather Data Improvement,2.1012169172667257
396,MultilayerPerceptron,No Additional Data,41520.6432143463
397,MultilayerPerceptron,Best Added-Feature Set,39123.624568187945
398,MultilayerPerceptron,Best Added-Feature Set Improvement,5.773076861511953
399,MultilayerPerceptron,Day of Week Data Improvement,-2.024840778333399
400,MultilayerPerceptron,Season Data Improvement,-9.169604499416963
401,MultilayerPerceptron,Weather Data Improvement,-3.0928719907993383
402,kNearestNeighbor,No Additional Data,40143.72864373836
403,kNearestNeighbor,Best Added-Feature Set,39004.27143323851
404,kNearestNeighbor,Best Added-Feature Set Improvement,2.838443884005244
405,kNearestNeighbor,Day of Week Data Improvement,2.565012828231488
406,kNearestNeighbor,Season Data Improvement,2.115908201168409
407,kNearestNeighbor,Weather Data Improvement,1.6457547715428404
408,MovingAverage,No Additional Data,70115.65355465707
409,MovingAverage,Best Added-Feature Set,70115.65355465707
410,MovingAverage,Best Added-Feature Set Improvement,0.0
411,MovingAverage,Day of Week Data Improvement,0.0
412,MovingAverage,Season Data Improvement,0.0
413,MovingAverage,Weather Data Improvement,0.0
414,Poisson,No Additional Data,118386.10696711752
415,Poisson,Best Added-Feature Set,118386.10696711752
416,Poisson,Best Added-Feature Set Improvement,0.0
417,Poisson,Day of Week Data Improvement,0.0
418,Poisson,Season Data Improvement,0.0
419,Poisson,Weather Data Improvement,0.0
420,RandomForest,No Additional Data,37074.9432355707
421,RandomForest,Best Added-Feature Set,26688.864022640013
422,RandomForest,Best Added-Feature Set Improvement,28.013742723592372
423,RandomForest,Day of Week Data Improvement,26.75691663431641
424,RandomForest,Season Data Improvement,0.8748090745377795
