task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
delay,Ridge,target metric + scaled season,75,35.301415557732,{'alpha': 573.9431561711092},1321351276,
delay,Ridge,target metric + scaled season OHE,33,35.37481314094635,{'alpha': 13.039345027092315},1833692248,
delay,Ridge,target metric + weather,1,35.722899553992434,{'alpha': 8496.145974505125},624877451,
delay,Ridge,target metric + scaled weather,20,35.34427939159581,{'alpha': 8067.0110553868335},3368393690,
delay,Ridge,target metric + day of week + season,98,22.87053826719056,{'alpha': 15.031375890762657},2056755679,
delay,Ridge,target metric + day of week OHE + season OHE,43,21.139989750860888,{'alpha': 4.850467026550498},1549586166,
delay,Ridge,target metric + scaled day of week + scaled season,10,22.886210953873658,{'alpha': 0.7684915394934384},865312124,
delay,Ridge,target metric + scaled day of week OHE + scaled season OHE,90,21.13229582171056,{'alpha': 39.49744344568486},1742357183,
delay,Ridge,target metric + day of week + weather,14,23.239313819598777,{'alpha': 0.00010754613934436777},808069584,
delay,Ridge,target metric + day of week OHE + weather,28,21.659689958559103,{'alpha': 0.0001057565785563381},2299255294,
delay,Ridge,target metric + scaled day of week + scaled weather,93,23.239313973236907,{'alpha': 0.00010322917821330561},1995646178,
delay,Ridge,target metric + scaled day of week OHE + scaled weather,89,21.64023914705328,{'alpha': 119.93106072428604},2753735674,
delay,Ridge,target metric + season + weather,24,35.73911687897642,{'alpha': 7984.038915987715},3587208980,
delay,Ridge,target metric + season OHE + weather,22,35.772366493805926,{'alpha': 6219.195090853458},3956084996,
delay,Ridge,target metric + scaled season + scaled weather,28,35.33910820510052,{'alpha': 6866.849817111653},4172435269,
delay,Ridge,target metric + scaled season OHE + scaled weather,58,35.39341186309243,{'alpha': 8677.900350033251},115673318,
gse,Lasso,target metric,33,51760.527370462594,"{'alpha': 0.00010906974928518564, 'selection': 'random'}",3319071289,
gse,Lasso,target metric + day of week + season + weather,32,53471.86396049111,"{'alpha': 4953.589060742863, 'selection': 'random'}",3917448473,
gse,Lasso,target metric + day of week OHE + season OHE + weather,42,35882.48402427737,"{'alpha': 7056.433109020399, 'selection': 'cyclic'}",2734005016,
gse,Lasso,target metric + scaled day of week + scaled season + scaled weather,28,51103.60206145555,"{'alpha': 9112.154540172896, 'selection': 'cyclic'}",500688412,
gse,Lasso,target metric + scaled day of week OHE + scaled season OHE + scaled weather,16,52759.69396732398,"{'alpha': 4532.08490446612, 'selection': 'cyclic'}",4126299667,
gse,Lasso,target metric + day of week,1,53064.19579087985,"{'alpha': 6996.606290753433, 'selection': 'cyclic'}",3429138630,
gse,Lasso,target metric + day of week OHE,39,35973.6430268222,"{'alpha': 8466.77821361225, 'selection': 'cyclic'}",4141849672,
gse,Lasso,target metric + scaled day of week,28,50823.79700302536,"{'alpha': 7325.6762127277025, 'selection': 'cyclic'}",3445792766,
gse,Lasso,target metric + scaled day of week OHE,92,48308.65402974816,"{'alpha': 7885.79061043033, 'selection': 'cyclic'}",3970046675,
gse,Lasso,target metric + season,94,51672.24142861309,"{'alpha': 82.07982804928784, 'selection': 'random'}",1342779661,
gse,Lasso,target metric + season OHE,75,51593.91226854238,"{'alpha': 37.41854659948726, 'selection': 'cyclic'}",251908783,
gse,Lasso,target metric + scaled season,1,51672.41894745328,"{'alpha': 81.42487215891879, 'selection': 'cyclic'}",358351589,
gse,Lasso,target metric + scaled season OHE,54,51588.50737472442,"{'alpha': 92.84556327881661, 'selection': 'cyclic'}",3376374914,
gse,Lasso,target metric + weather,75,51600.05918824545,"{'alpha': 5783.3385750691805, 'selection': 'random'}",53162649,
gse,Lasso,target metric + scaled weather,62,51516.37777451988,"{'alpha': 4277.934584192396, 'selection': 'random'}",3880483407,
