,Model,Data,RMSE
349,MovingAverage,Any Data,57.62886709096796
350,MovingAverage,Any Data Improvement,0.0
351,MovingAverage,Day of Week Data Improvement,0.0
352,MovingAverage,Season Data Improvement,0.0
353,MovingAverage,Weather Data Improvement,0.0
354,Poisson,No Additional Data,49.27073794586243
355,Poisson,Any Data,37.62285531664113
356,Poisson,Any Data Improvement,23.640568651558922
357,Poisson,Day of Week Data Improvement,23.640568651558922
358,Poisson,Season Data Improvement,-0.3038386198064842
359,Poisson,Weather Data Improvement,0.6990922748683062
360,RandomForest,No Additional Data,39.45165097226845
361,RandomForest,Any Data,32.20583846141937
362,RandomForest,Any Data Improvement,18.366309982673087
363,RandomForest,Day of Week Data Improvement,15.892604439587643
364,RandomForest,Season Data Improvement,0.022707290746922126
365,RandomForest,Weather Data Improvement,-4.37346250455235
366,Linear,No Additional Data,44.29841974528746
367,Linear,Any Data,32.97390041625595
368,Linear,Any Data Improvement,25.564160965891404
369,Linear,Day of Week Data Improvement,25.564160965891404
370,Linear,Season Data Improvement,-1.7267686497850576
371,Linear,Weather Data Improvement,-0.7025174191085171
372,Ridge,No Additional Data,44.29842353604308
373,Ridge,Any Data,32.97454280438081
374,Ridge,Any Data Improvement,25.56271719793523
375,Ridge,Day of Week Data Improvement,25.56271719793523
376,Ridge,Season Data Improvement,-1.385051282063472
377,Ridge,Weather Data Improvement,-0.7019340825244313
378,Lasso,No Additional Data,44.313481788480956
379,Lasso,Any Data,33.44692781436692
380,Lasso,Any Data Improvement,24.522004445470444
381,Lasso,Day of Week Data Improvement,24.522004445470444
382,Lasso,Season Data Improvement,2.51573766263391e-08
383,Lasso,Weather Data Improvement,-0.010090055115711039
384,GradientBoost,No Additional Data,39.157687440513726
385,GradientBoost,Any Data,32.842109818819026
386,GradientBoost,Any Data Improvement,16.128576620590763
387,GradientBoost,Day of Week Data Improvement,14.826181584815203
388,GradientBoost,Season Data Improvement,1.3826068950804995
389,GradientBoost,Weather Data Improvement,-11.824585084743632
390,SupportVector,No Additional Data,44.19052329841844
391,SupportVector,Any Data,44.19052329841844
392,SupportVector,Any Data Improvement,0.0
393,SupportVector,Day of Week Data Improvement,-2.948685994573765
394,SupportVector,Season Data Improvement,-3.141622319563595
395,SupportVector,Weather Data Improvement,-4.804733455799976
396,MultilayerPerceptron,No Additional Data,38.87062796552654
397,MultilayerPerceptron,Any Data,32.2330443339734
398,MultilayerPerceptron,Any Data Improvement,17.07609055721933
399,MultilayerPerceptron,Day of Week Data Improvement,17.07609055721933
400,MultilayerPerceptron,Season Data Improvement,2.1672802095247476
401,MultilayerPerceptron,Weather Data Improvement,-1.394269139063681
402,kNearestNeighbor,No Additional Data,44.54688592475018
403,kNearestNeighbor,Any Data,43.99886016760698
404,kNearestNeighbor,Any Data Improvement,1.2302223730496848
405,kNearestNeighbor,Day of Week Data Improvement,1.1149996843707441
406,kNearestNeighbor,Season Data Improvement,0.4393240274747825
407,kNearestNeighbor,Weather Data Improvement,-1.503551314019134
408,MovingAverage,No Additional Data,55.91239674188983
409,MovingAverage,Any Data,55.91239674188983
410,MovingAverage,Any Data Improvement,1.4210854715202004e-14
411,MovingAverage,Day of Week Data Improvement,1.4210854715202004e-14
412,MovingAverage,Season Data Improvement,1.4210854715202004e-14
413,MovingAverage,Weather Data Improvement,1.4210854715202004e-14
414,Poisson,No Additional Data,46.22514374243377
415,Poisson,Any Data,35.18349243889738
416,Poisson,Any Data Improvement,23.886678135735835
417,Poisson,Day of Week Data Improvement,23.886678135735835
418,Poisson,Season Data Improvement,0.3894614591435044
419,Poisson,Weather Data Improvement,-2.4519299806598127
420,RandomForest,No Additional Data,41.60568816690748
421,RandomForest,Any Data,32.33238456237587
422,RandomForest,Any Data Improvement,22.28854758351875
423,RandomForest,Day of Week Data Improvement,18.108728971895772
424,RandomForest,Season Data Improvement,-1.3305014218685898
425,RandomForest,Weather Data Improvement,1.10944653607541
426,Linear,No Additional Data,43.86350409821964
427,Linear,Any Data,32.54562989997325
428,Linear,Any Data Improvement,25.802485302823243
429,Linear,Day of Week Data Improvement,25.802485302823243
430,Linear,Season Data Improvement,0.24487041858364478
431,Linear,Weather Data Improvement,-0.14548865785609166
432,Ridge,No Additional Data,43.86350827360719
433,Ridge,Any Data,32.546170817930765
434,Ridge,Any Data Improvement,25.801259181281907
435,Ridge,Day of Week Data Improvement,25.801259181281907
436,Ridge,Season Data Improvement,0.261202026848693
